Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac,#frogs
Fowlers toad,FTT2,Total Triadimefon,LCMS,1,Soil,2.74322E-06,0.249114027,7.010390361,3.11,0.035534972,1.74647,2.10534,260,0.26,291.73,1.22,91123.88398,1.740468562,0.02,520,26,Terrestrial,1
Fowlers toad,FTT3,Total Triadimefon,LCMS,1,Soil,2.74322E-06,0.309893558,7.010390361,3.11,0.044204893,1.37367,1.66107,260,0.26,291.73,1.22,102274.3756,1.517285191,0.02,520,26,Terrestrial,1
Fowlers toad,FTT4,Total Triadimefon,LCMS,1,Soil,2.74322E-06,0.404606482,7.010390361,3.11,0.057715257,3.32274,3.92233,260,0.26,291.73,1.22,196400.9723,2.495310856,0.02,520,26,Terrestrial,1
Fowlers toad,FTT5,Total Triadimefon,LCMS,1,Soil,2.74322E-06,0.318423813,7.010390361,3.11,0.045421695,1.09363,2.43366,260,0.26,291.73,1.22,67066.85752,1.892810295,0.02,520,26,Terrestrial,1
Gray treefrog,HVI1,Imidacloprid,LCMS,1,Soil,5.66188E-06,0.188500223,2.865856558,0.57,0.065774479,1.50164,1.7348,510,0.51,255.661,1.543,32131.34233,1.555922694,0.0002,292.5,84,Arboreal,1
Gray treefrog,HVI2,Imidacloprid,LCMS,1,Soil,5.66188E-06,0.176685812,2.865856558,0.57,0.061652008,1.89679,2.1576,510,0.51,255.661,1.543,33529.59748,1.765353876,0.0002,292.5,84,Arboreal,1
Gray treefrog,HVI3,Imidacloprid,LCMS,1,Soil,5.66188E-06,0.158445082,2.865856558,0.57,0.055287164,1.48929,1.6711,510,0.51,255.661,1.543,27372.60978,1.522583143,0.0002,292.5,84,Arboreal,1
Gray treefrog,HVI4,Imidacloprid,LCMS,1,Soil,5.66188E-06,0.133043234,2.865856558,0.57,0.04642355,2.47287,2.6785,510,0.51,255.661,1.543,29041.65728,2.000837741,0.0002,292.5,84,Arboreal,1
Gray treefrog,HVI5,Imidacloprid,LCMS,1,Soil,5.66188E-06,0.27666374,2.865856558,0.57,0.096537888,1.5308,1.7897,510,0.51,255.661,1.543,47215.81839,1.584245064,0.0002,292.5,84,Arboreal,1
Gray treefrog,HVP1,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.077086057,10.66105625,5.18,0.007230621,1.42942,2.0355,0.3,0.0003,281.31,1.17,3247.340045,1.706802128,4,243000,40,Arboreal,1
Gray treefrog,HVP2,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.04141364,10.66105625,5.18,0.003884572,1.72685,2.15809,0.3,0.0003,281.31,1.17,2037.437975,1.765585997,4,243000,40,Arboreal,1
Gray treefrog,HVP3,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.062623285,10.66105625,5.18,0.005874023,1.77209,2.8864,0.3,0.0003,281.31,1.17,2671.700972,2.089339561,4,243000,40,Arboreal,1
Gray treefrog,HVP4,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.018846949,10.66105625,5.18,0.001767831,1.59006,2.17502,0.3,0.0003,281.31,1.17,849.9159918,1.773592442,4,243000,40,Arboreal,1
Gray treefrog,HVP5,Pendimethalin,LCMS,1,Soil,1.98804E-05,0.060285257,10.66105625,5.18,0.005654717,1.59253,2.1218,0.3,0.0003,281.31,1.17,2762.164386,1.748334303,4,243000,40,Arboreal,1
Gray treefrog,HVA1,Total Atrazine,LCMS,1,Soil,2.30941E-05,8.381738534,16.63951616,2.5,0.503724895,1.56286,2.13844,30,0.03,215.68,1.187,322971.6155,1.756259992,0.04,122,80,Arboreal,1
Gray treefrog,HVA2,Total Atrazine,LCMS,1,Soil,2.30941E-05,8.407586134,16.63951616,2.5,0.505278282,1.42737,1.792639,30,0.03,215.68,1.187,327696.5803,1.585750875,0.04,122,80,Arboreal,1
Gray treefrog,HVA3,Total Atrazine,LCMS,1,Soil,2.30941E-05,10.43128937,16.63951616,2.5,0.626898599,2.21783,2.76186,30,0.03,215.68,1.187,491866.0641,2.036659213,0.04,122,80,Arboreal,1
Gray treefrog,HVA4,Total Atrazine,LCMS,1,Soil,2.30941E-05,8.072348131,16.63951616,2.5,0.485131181,2.86963,3.6308,30,0.03,215.68,1.187,420359.4489,2.386184125,0.04,122,80,Arboreal,1
Gray treefrog,HVA5,Total Atrazine,LCMS,1,Soil,2.30941E-05,6.806192479,16.63951616,2.5,0.409037884,1.1115,1.5443,30,0.03,215.68,1.187,225203.134,1.454582113,0.04,122,80,Arboreal,1
Gray treefrog,HVF1,Total Fipronil,LCMS,1,Soil,1.05263E-06,0.895649989,3.309695933,4,0.27061398,2.29103,2.8305,3.78,0.00378,437.15,1.48,943629.1151,2.065814751,0.00037,825,125,Arboreal,1
Gray treefrog,HVF2,Total Fipronil,LCMS,1,Soil,1.05263E-06,0.453031887,3.309695933,4,0.136880214,2.48463,2.78375,3.78,0.00378,437.15,1.48,522649.5649,2.045990007,0.00037,825,125,Arboreal,1
Gray treefrog,HVF3,Total Fipronil,LCMS,1,Soil,1.05263E-06,0.627210223,3.309695933,4,0.189506902,1.73741,2.07613,3.78,0.00378,437.15,1.48,599633.7444,1.726445948,0.00037,825,125,Arboreal,1
Gray treefrog,HVF4,Total Fipronil,LCMS,1,Soil,1.05263E-06,0.144678333,3.309695933,4,0.043713482,1.90828,2.32246,3.78,0.00378,437.15,1.48,142371.3363,1.842241823,0.00037,825,125,Arboreal,1
Gray treefrog,HVF5,Total Fipronil,LCMS,1,Soil,1.05263E-06,0.173233731,3.309695933,4,0.052341283,2.34893,2.71625,3.78,0.00378,437.15,1.48,191643.9242,2.017116974,0.00037,825,125,Arboreal,1
Gray treefrog,HVT1,Total Triadimefon,LCMS,1,Soil,2.77512E-06,0.45289549,5.80984816,3.11,0.077953068,2.49658,3.08904,260,0.26,291.73,1.22,187495.7146,2.173053557,0.02,520,26,Arboreal,1
Gray treefrog,HVT2,Total Triadimefon,LCMS,1,Soil,2.77512E-06,0.841704915,5.80984816,3.11,0.144875544,2.51534,3.08517,260,0.26,291.73,1.22,351333.5706,2.171476849,0.02,520,26,Arboreal,1
Gray treefrog,HVT3,Total Triadimefon,LCMS,1,Soil,2.77512E-06,0.590151651,5.80984816,3.11,0.10157781,1.1547,1.63219,260,0.26,291.73,1.22,163491.1456,1.501954746,0.02,520,26,Arboreal,1
Gray treefrog,HVT4,Total Triadimefon,LCMS,1,Soil,2.77512E-06,0.691676628,5.80984816,3.11,0.119052445,1.20172,1.53427,260,0.26,291.73,1.22,206692.6053,1.449104627,0.02,520,26,Arboreal,1
Gray treefrog,HVT5,Total Triadimefon,LCMS,1,Soil,2.77512E-06,0.446716578,5.80984816,3.11,0.076889544,2.91091,3.36673,260,0.26,291.73,1.22,205145.9448,2.284105735,0.02,520,26,Arboreal,1
