Species,Sample,Chemical,Instrument,Application,good,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_Lit,Koc_Lab,HalfLife_day,HabFac,Hlaw,#frogs
Green treefrog,HCA4,Atrazine,GCMS,Soil,0,2.30303E-05,1.48618332,38.25707326,2.5,0.038847282,1.88638,2.1335,30,0.03,215.68,1.187,69405.62444,1.753909771,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCA5,Atrazine,GCMS,Soil,0,2.30303E-05,0.935617578,38.25707326,2.5,0.024456068,0.73631,0.8415,30,0.03,215.68,1.187,29227.41986,1.023455444,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA1,Atrazine,GCMS,Overspray,0,2.3118E-05,8.650992202,58.63870578,2.5,0.147530408,2.22041,2.636,30,0.03,215.68,1.187,419139.3363,1.982394093,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA2,Atrazine,GCMS,Overspray,0,2.3118E-05,14.85425722,58.63870578,2.5,0.253318299,3.35473,3.8441,30,0.03,215.68,1.187,873975.2029,2.466372803,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA3,Atrazine,GCMS,Overspray,0,2.3118E-05,10.16477996,58.63870578,2.5,0.173345913,2.00039,2.3522,30,0.03,215.68,1.187,473931.7287,1.855864195,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA4,Atrazine,GCMS,Overspray,0,2.3118E-05,10.27971357,58.63870578,2.5,0.175305942,2.82206,4.3821,30,0.03,215.68,1.187,471628.3801,2.66070452,0.04,122,200,80,Arboreal,2.36E-09,1
Green treefrog,HCOA5,Atrazine,GCMS,Overspray,0,2.3118E-05,8.426503825,58.63870578,2.5,0.143702077,3.13181,3.8345,30,0.03,215.68,1.187,463513.2819,2.46280466,0.04,122,200,80,Arboreal,2.36E-09,1
Leopard frog,LFA1,Atrazine,LCMS,Soil,1,2.311E-05,2.796596072,21.47493747,2.5,0.13022604,1.74298,1.9611,30,0.03,215.68,1.187,126270.3395,1.670397973,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA2,Atrazine,LCMS,Soil,1,2.2823E-05,4.591570791,21.47493747,2.5,0.213810671,3.042,3.60864,30,0.03,215.68,1.187,257385.3808,2.377740885,0.04,122,200,80,Aquatic,2.36E-09,1
Leopard frog,LFA3,Atrazine,LCMS,Soil,1,2.2823E-05,3.393348552,21.47493747,2.5,0.158014362,2.243,2.90716,30,0.03,215.68,1.187,158955.1246,2.098027218,0.04,122,200,80,Aquatic,2.36E-09,1
