Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
"Heptanol, n-",000111-70-6,1.04E-05,1.76E+02,1.16E+00,2.33E-01,NA,7.98E-02,9.32E-06,2.49E+01,7.69E-04,NA,2.10E+01,1.92E-02,2.62E+00,3.29E-06,-3.40E+01,1.16E+02,NA,1.00E+00,1.67E+03,2.34E-01
Hexabromobenzene,000087-82-1,2.94E-02,3.71E+02,1.16E-02,2.32E-03,NA,2.83E-02,3.30E-06,9.89E+02,1.15E-03,NA,2.81E+03,1.36E-02,6.07E+00,9.28E-03,3.26E+02,5.51E+02,1.00E-01,1.00E+00,1.60E-04,1.68E-08
"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)",068631-49-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,9.00E-04,5.80E-06
Hexachlorobenzene,000118-74-1,1.34E-02,3.25E+02,1.83E-02,3.66E-03,2.04E+00,2.90E-02,7.85E-06,2.14E+04,6.95E-02,NA,6.20E+03,2.54E-01,5.73E+00,4.24E-03,2.32E+02,2.85E+02,1.00E-01,1.00E+00,6.20E-03,1.80E-05
"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167)",052663-72-6,NA,3.97E+02,NA,NA,NA,3.75E-02,4.38E-06,NA,6.62E-03,NA,2.09E+05,1.43E+00,7.50E+00,NA,1.46E+02,3.61E+02,1.40E-01,1.00E+00,2.23E-03,5.81E-07
"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)",069782-90-7,NA,3.97E+02,NA,NA,NA,3.75E-02,4.38E-06,NA,6.62E-03,NA,2.14E+05,1.66E+00,7.60E+00,NA,1.46E+02,3.61E+02,1.40E-01,1.00E+00,1.65E-03,5.81E-07
"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156)",038380-08-4,NA,3.97E+02,NA,NA,NA,3.75E-02,4.38E-06,NA,5.85E-03,NA,2.14E+05,1.66E+00,7.60E+00,NA,1.46E+02,3.61E+02,1.40E-01,1.00E+00,5.33E-03,1.61E-06
"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169)",032774-16-6,NA,3.97E+02,NA,NA,NA,3.75E-02,4.38E-06,NA,6.62E-03,NA,2.09E+05,1.24E+00,7.41E+00,NA,1.46E+02,3.61E+02,1.40E-01,1.00E+00,5.10E-04,5.81E-07
Hexachlorobutadiene,000087-68-3,1.51E-03,2.15E+02,6.50E-02,1.30E-02,1.56E+00,2.67E-02,7.03E-06,6.63E+03,4.21E-01,NA,8.45E+02,8.10E-02,4.78E+00,4.76E-04,-2.10E+01,2.61E+02,1.00E-01,1.00E+00,3.20E+00,2.20E-01
"Hexachlorocyclohexane, Alpha-",000319-84-6,1.58E-04,2.88E+02,2.41E-01,4.81E-02,NA,4.33E-02,5.06E-06,3.72E+02,2.10E-04,NA,2.81E+03,2.06E-02,3.80E+00,4.98E-05,1.13E+02,2.91E+02,1.00E-01,1.00E+00,2.00E+00,3.52E-05
"Hexachlorocyclohexane, Beta-",000319-85-7,1.51E-04,2.88E+02,2.47E-01,4.94E-02,1.89E+00,2.77E-02,7.40E-06,3.72E+02,2.10E-04,NA,2.81E+03,2.06E-02,3.78E+00,4.76E-05,1.13E+02,2.91E+02,1.00E-01,1.00E+00,2.40E-01,3.52E-05
"Hexachlorocyclohexane, Delta-",000319-86-8,3.45E-04,2.88E+02,1.53E-01,3.06E-02,NA,4.33E-02,5.06E-06,3.72E+02,2.10E-04,NA,2.81E+03,2.06E-02,4.14E+00,1.09E-04,1.13E+02,2.91E+02,1.00E-01,1.00E+00,3.14E+01,3.52E-05
"Hexachlorocyclohexane, Epsilon",006108-10-7,NA,2.88E+02,NA,NA,NA,4.33E-02,5.06E-06,NA,2.10E-04,NA,2.81E+03,2.06E-02,4.14E+00,NA,1.13E+02,2.91E+02,1.00E-01,1.00E+00,8.00E+00,3.52E-05
"Hexachlorocyclohexane, Gamma- (Lindane)",000058-89-9,1.31E-04,2.88E+02,2.68E-01,5.36E-02,NA,4.33E-02,5.06E-06,3.72E+02,2.10E-04,NA,2.81E+03,2.06E-02,3.72E+00,4.15E-05,1.13E+02,2.91E+02,4.00E-02,1.00E+00,7.30E+00,3.52E-05
"Hexachlorocyclohexane, Technical",000608-73-1,3.45E-04,2.88E+02,1.53E-01,3.06E-02,NA,4.33E-02,5.06E-06,NA,2.10E-04,NA,2.81E+03,2.06E-02,4.14E+00,1.09E-04,1.13E+02,2.91E+02,1.00E-01,1.00E+00,8.00E+00,3.52E-05
Hexachlorocyclopentadiene,000077-47-4,2.74E-03,2.39E+02,4.59E-02,9.19E-03,1.70E+00,2.72E-02,7.22E-06,9.83E+02,1.10E+00,NA,1.40E+03,1.03E-01,5.04E+00,8.66E-04,-9.00E+00,2.73E+02,1.00E-01,1.00E+00,1.80E+00,6.00E-02
Hexachlorodibenzo-p-dioxin,034465-46-8,NA,4.17E+02,NA,NA,NA,4.27E-02,4.15E-06,NA,2.33E-04,NA,6.95E+05,2.86E+00,8.21E+00,NA,2.50E+02,3.91E+02,3.00E-02,1.00E+00,4.00E-06,4.40E-11
"Hexachlorodibenzo-p-dioxin, 1,2,3,4,7,8-",039227-28-6,NA,4.17E+02,NA,NA,NA,4.27E-02,4.15E-06,NA,1.05E-03,NA,6.95E+05,1.53E+00,7.80E+00,NA,1.74E+02,3.91E+02,3.00E-02,1.00E+00,1.91E-04,9.47E-08
"Hexachlorodibenzo-p-dioxin, Mixture",000000-01-9,4.05E+00,4.17E+02,6.66E-04,1.33E-04,NA,4.27E-02,4.15E-06,3.40E+03,2.33E-04,NA,6.95E+05,2.86E+00,8.21E+00,1.28E+00,2.50E+02,3.91E+02,3.00E-02,1.00E+00,4.00E-06,4.40E-11
"Hexachlorodibenzofuran, 1,2,3,4,7,8-",070648-26-9,NA,4.15E+02,NA,NA,NA,3.65E-02,4.27E-06,NA,1.59E-03,NA,3.89E+05,2.25E+00,7.92E+00,NA,1.71E+02,3.75E+02,1.00E-01,1.00E+00,3.49E-04,1.12E-07
Hexachloroethane,000067-72-1,3.45E-04,1.85E+02,1.53E-01,3.06E-02,2.09E+00,3.21E-02,8.89E-06,5.10E+02,1.59E-01,NA,1.97E+02,4.15E-02,4.14E+00,1.09E-04,1.87E+02,2.37E+02,1.00E-01,1.00E+00,5.00E+01,2.10E-01
Hexachlorophene,000070-30-4,8.67E-01,4.79E+02,1.63E-03,3.26E-04,NA,3.46E-02,4.04E-06,1.18E+02,2.24E-11,NA,6.69E+05,8.36E-01,7.54E+00,2.74E-01,1.67E+02,4.07E+02,1.00E-01,1.00E+00,1.40E+02,8.31E-11
Hexachloropropene,001888-71-7,NA,2.10E+02,NA,NA,1.76E+00,2.90E-02,7.79E-06,3.58E+02,1.92E-01,NA,4.06E+02,5.10E-02,4.38E+00,NA,-7.29E+01,2.49E+02,1.00E-01,1.00E+00,1.70E+01,2.44E-01
Hexadecanoic Acid,000057-10-3,3.70E-01,3.52E+02,2.67E-03,5.34E-04,8.53E-01,2.03E-02,4.95E-06,5.62E+01,8.18E-04,NA,3.52E+03,3.32E+00,7.17E+00,1.17E-01,6.18E+01,2.56E+02,1.00E-01,1.00E+00,4.00E-02,3.80E-07
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",000121-82-4,1.85E-07,3.53E+02,1.20E+01,2.41E+00,1.82E+00,3.12E-02,8.50E-06,2.00E+00,8.22E-10,NA,8.91E+01,3.36E-04,8.70E-01,5.86E-08,2.06E+02,2.22E+02,1.50E-02,1.00E+00,5.97E+01,4.10E-09
"Hexamethylene Diisocyanate, 1,6-",000822-06-0,3.96E-05,2.55E+02,5.36E-01,1.07E-01,1.05E+00,4.04E-02,7.23E-06,5.96E+01,1.96E-03,NA,4.82E+03,2.37E-02,3.20E+00,1.25E-05,-6.70E+01,1.68E+02,NA,1.00E+00,1.79E+02,2.08E-02
Hexamethylphosphoramide,000680-31-9,4.76E-08,2.33E+02,2.65E+01,5.30E+00,1.03E+00,3.48E-02,6.87E-06,5.00E-01,2.92E-10,NA,1.00E+01,2.37E-04,2.80E-01,1.51E-08,7.20E+00,1.79E+02,1.00E-01,1.00E+00,1.00E+06,4.60E-02
"Hexane, Commercial",000000-00-4,2.00E-04,NA,2.10E-01,4.20E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30E-05,NA,NA,NA,1.00E+00,NA,NA
"Hexane, N-",000110-54-3,1.99E-04,6.87E+01,2.11E-01,4.21E-02,6.61E-01,7.31E-02,8.17E-06,1.74E+02,7.36E+01,NA,1.32E+02,2.01E-01,3.90E+00,6.28E-05,-9.53E+01,8.62E+01,NA,1.00E+00,9.50E+00,1.51E+02
Hexanedioic Acid,000124-04-9,3.01E-08,3.38E+02,3.46E+01,6.92E+00,1.36E+00,5.77E-02,9.17E-06,3.16E+00,1.93E-10,NA,2.43E+01,2.68E-04,8.00E-02,9.50E-09,1.53E+02,1.46E+02,1.00E-01,1.00E+00,3.08E+04,3.18E-07
"Hexanol, n-",000111-27-3,2.68E-06,1.58E+02,2.56E+00,5.12E-01,NA,8.69E-02,1.02E-05,1.02E+01,6.99E-04,NA,1.15E+01,9.35E-03,2.03E+00,8.47E-07,-4.46E+01,1.02E+02,NA,1.00E+00,5.90E+03,9.28E-01
"Hexanone, 2-",000591-78-6,6.00E-07,1.28E+02,6.10E+00,1.22E+00,8.11E-01,7.04E-02,8.44E-06,3.78E+00,3.81E-03,NA,1.50E+01,3.55E-03,1.38E+00,1.90E-07,-5.55E+01,1.00E+02,NA,1.00E+00,1.72E+04,1.16E+01
Hexazinone,051235-04-2,1.77E-06,4.08E+02,3.25E+00,6.51E-01,1.25E+00,2.46E-02,6.28E-06,7.72E+00,9.24E-11,NA,1.29E+02,1.02E-03,1.85E+00,5.59E-07,1.16E+02,2.52E+02,1.00E-01,1.00E+00,3.30E+04,2.25E-07
"HpCDD, 2,3,7,8-",037871-00-4,3.96E+00,4.35E+02,6.75E-04,1.35E-04,NA,4.09E-02,3.93E-06,NA,7.15E-03,NA,1.16E+06,1.33E+00,8.00E+00,1.25E+00,2.64E+02,4.25E+02,3.00E-02,1.00E+00,1.41E-06,5.60E-12
"HpCDF, 1,2,3,4,7,8,9-",055673-89-7,NA,4.39E+02,NA,NA,NA,3.45E-02,4.03E-06,NA,5.76E-04,NA,6.50E+05,1.45E+00,7.92E+00,NA,2.33E+02,4.09E+02,1.00E-01,1.00E+00,1.35E-06,3.53E-11
"HpCDF, 2,3,7,8-",038998-75-3,NA,4.39E+02,NA,NA,NA,3.45E-02,4.03E-06,NA,5.76E-04,NA,6.50E+05,1.45E+00,7.92E+00,NA,2.33E+02,4.09E+02,1.00E-01,1.00E+00,1.35E-06,3.53E-11
"HxCDD, 1,2,3,6,7,8-",057653-85-7,NA,4.17E+02,NA,NA,NA,4.27E-02,4.15E-06,8.45E+03,1.05E-03,NA,6.95E+05,2.86E+00,8.21E+00,NA,2.85E+02,3.91E+02,3.00E-02,1.00E+00,1.91E-04,3.60E-11
"HxCDD, 1,2,3,7,8,9-",019408-74-3,NA,4.17E+02,NA,NA,NA,4.27E-02,4.15E-06,8.45E+03,1.05E-03,NA,6.95E+05,2.86E+00,8.21E+00,NA,2.85E+02,3.91E+02,3.00E-02,1.00E+00,1.91E-04,3.60E-11
"HxCDF, 1,2,3,6,7,8-",057117-44-9,NA,4.15E+02,NA,NA,NA,3.65E-02,4.27E-06,NA,1.59E-03,NA,3.89E+05,2.25E+00,7.92E+00,NA,1.71E+02,3.75E+02,1.00E-01,1.00E+00,3.49E-04,1.12E-07
"HxCDF, 1,2,3,7,8,9-",072918-21-9,NA,4.20E+02,NA,NA,NA,3.65E-02,4.27E-06,NA,3.47E-04,NA,3.89E+05,1.35E+00,7.58E+00,NA,1.73E+02,3.75E+02,1.00E-01,1.00E+00,1.56E-03,7.70E-08
"HxCDF, 2,3,4,6,7,8-",060851-34-5,NA,4.15E+02,NA,NA,NA,3.65E-02,4.27E-06,NA,1.59E-03,NA,3.89E+05,2.25E+00,7.92E+00,NA,2.40E+02,3.75E+02,1.00E-01,1.00E+00,3.49E-04,1.74E-08
"HxCDF, 2,3,7,8-",055684-94-1,NA,4.20E+02,NA,NA,NA,3.65E-02,4.27E-06,NA,3.47E-04,NA,3.97E+05,1.35E+00,7.58E+00,NA,1.73E+02,3.75E+02,1.00E-01,1.00E+00,1.56E-03,7.70E-08
Hydrazine,000302-01-2,2.00E-10,1.14E+02,6.28E+02,1.27E+02,1.00E+00,NA,NA,1.50E+05,NA,NA,NA,4.36E-05,-2.07E+00,6.30E-11,2.00E+00,3.21E+01,NA,1.00E+00,1.00E+06,1.44E+01
Hydrazine Sulfate,010034-93-2,2.00E-10,NA,6.28E+02,1.27E+02,1.38E+00,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,6.30E-11,2.54E+02,1.28E+02,NA,1.00E+00,3.06E+04,NA
Hydrogen Chloride,007647-01-0,NA,-8.50E+01,NA,NA,1.49E+00,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,-1.14E+02,3.55E+01,NA,1.00E+00,NA,3.08E+04
Hydrogen Cyanide,000074-90-8,6.00E-08,2.56E+01,2.29E+01,4.64E+00,6.88E-01,1.68E-01,1.68E-05,NA,5.44E-03,9.90E+00,NA,1.00E-03,-2.50E-01,1.90E-08,-1.34E+01,2.70E+01,NA,1.00E+00,1.00E+06,7.42E+02
Hydrogen Fluoride,007664-39-3,NA,2.00E+01,NA,NA,8.18E-01,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,-8.34E+01,2.00E+01,NA,1.00E+00,NA,9.17E+02
Hydrogen Selenide,077830-70-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Hydrogen Sulfate,012143-45-2,NA,NA,NA,NA,1.38E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.28E+02,NA,1.00E+00,NA,NA
Hydrogen Sulfide,007783-06-4,2.20E-07,-5.96E+01,1.07E+01,2.17E+00,1.39E+00,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,7.00E-08,-8.55E+01,3.41E+01,NA,1.00E+00,4.37E+06,1.56E+04
Hydroquinone,000123-31-9,9.73E-08,2.87E+02,1.75E+01,3.50E+00,1.33E+00,7.98E-02,1.07E-05,3.16E+00,1.93E-09,NA,2.41E+02,9.31E-04,5.90E-01,3.07E-08,1.72E+02,1.10E+02,1.00E-01,1.00E+00,7.20E+04,2.40E-05
"IQ (2-Amino-3-methylimidazo-[4,5-f]quinoline)",076180-96-6,NA,4.64E+02,NA,NA,NA,5.59E-02,6.53E-06,NA,7.48E-13,NA,6.09E+03,1.15E-03,1.47E+00,NA,1.96E+02,1.98E+02,1.00E-01,1.00E+00,7.86E+04,3.48E-09
Imazalil,035554-44-0,1.65E-04,3.47E+02,2.34E-01,4.69E-02,1.24E+00,2.25E-02,5.68E-06,1.54E+02,1.06E-07,NA,8.50E+03,1.16E-02,3.82E+00,5.22E-05,5.27E+01,2.97E+02,1.00E-01,1.00E+00,1.80E+02,1.19E-06
Imazaquin,081335-37-7,1.81E-06,6.09E+02,3.21E+00,6.42E-01,NA,4.14E-02,4.83E-06,3.16E+00,2.83E-16,NA,2.39E+03,4.83E-04,1.86E+00,5.72E-07,2.21E+02,3.11E+02,1.00E-01,1.00E+00,9.00E+01,3.39E-13
Imidacloprid,013826-41-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Imidazolidinone, 1-[(5-Nitrofurfurylidene)-amino]-2-",000555-84-0,NA,3.95E+02,NA,NA,NA,5.15E-02,6.02E-06,NA,2.69E-11,NA,4.76E+02,1.25E-04,2.40E-01,NA,2.62E+02,2.24E+02,1.00E-01,1.00E+00,9.85E+01,2.84E-08
"Indeno[1,2,3-cd]pyrene",000193-39-5,1.25E-01,5.36E+02,5.01E-03,1.00E-03,NA,4.48E-02,5.23E-06,1.22E+04,6.56E-05,NA,3.47E+06,1.04E+00,6.70E+00,3.96E-02,1.64E+02,2.76E+02,1.30E-01,1.00E+00,2.20E-05,1.25E-10
Indium,007440-74-6,NA,2.07E+03,NA,NA,7.31E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,1.57E+02,1.15E+02,NA,1.00E+00,NA,NA
Iodide,020461-54-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.27E+02,NA,1.00E+00,NA,NA
Iodine,007553-56-2,7.00E-03,1.85E+02,1.50E-01,3.75E-02,4.93E+00,NA,NA,NA,NA,6.00E+01,NA,1.00E-03,NA,1.00E-02,1.14E+02,2.54E+02,NA,1.00E+00,3.30E+02,2.33E-01
Iodomethane,000074-88-4,8.09E-07,4.25E+01,5.12E+00,1.02E+00,2.28E+00,7.49E-02,1.27E-05,4.61E+00,2.15E-01,NA,1.32E+01,2.52E-03,1.51E+00,2.56E-07,-6.64E+01,1.42E+02,NA,1.00E+00,1.38E+04,4.05E+02
Iodopropynyl Butylcarbamate (IPBC),055406-53-6,NA,3.01E+02,NA,NA,NA,4.43E-02,5.17E-06,NA,3.65E-07,NA,2.85E+02,1.77E-03,2.45E+00,NA,8.80E+01,2.81E+02,1.00E-01,1.00E+00,4.37E+02,4.62E-04
Iprodione,036734-19-7,2.50E-05,5.45E+02,7.01E-01,1.40E-01,NA,3.98E-02,4.65E-06,3.36E+02,1.28E-07,NA,5.25E+01,2.17E-03,3.00E+00,7.90E-06,1.36E+02,3.30E+02,1.00E-01,1.00E+00,1.39E+01,3.75E-09
Iron,007439-89-6,2.00E-02,2.86E+03,4.00E-03,1.00E-03,7.87E+00,NA,NA,2.00E+02,NA,2.50E+01,NA,1.00E-03,NA,2.50E-04,1.54E+03,5.59E+01,NA,1.00E+00,NA,0.00E+00
Iron Sulfide,011126-12-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Isobutyl Alcohol,000078-83-1,1.44E-07,1.08E+02,1.40E+01,2.79E+00,8.02E-01,8.97E-02,1.00E-05,3.16E+00,4.00E-04,NA,2.92E+00,1.92E-03,7.60E-01,4.55E-08,-1.08E+02,7.41E+01,1.00E-01,1.00E+00,8.50E+04,1.05E+01
Isodecyl diphenyl phosphate,029761-21-5,NA,4.66E+02,NA,NA,NA,3.56E-02,4.16E-06,6.73E+02,1.78E-05,NA,9.75E+04,4.16E-02,5.44E+00,NA,8.89E+01,3.90E+02,1.00E-01,1.00E+00,7.50E-01,4.72E-08
Isodrin,000465-73-6,NA,3.30E+02,NA,NA,NA,3.72E-02,4.35E-06,NA,1.80E-03,NA,8.20E+04,2.93E-01,6.50E+00,NA,2.40E+02,3.65E+02,1.00E-01,1.00E+00,1.70E-02,1.20E-04
Isophorone,000078-59-1,1.25E-06,2.15E+02,3.98E+00,7.95E-01,9.26E-01,5.25E-02,7.53E-06,2.00E+00,2.71E-04,NA,6.52E+01,3.54E-03,1.70E+00,3.96E-07,-8.10E+00,1.38E+02,1.00E-01,1.00E+00,1.20E+04,4.38E-01
Isopropalin,033820-53-0,1.58E-02,4.07E+02,1.67E-02,3.33E-03,NA,4.15E-02,4.85E-06,3.14E+03,4.54E-03,NA,1.14E+04,2.07E-01,5.80E+00,4.98E-03,1.52E+02,3.09E+02,1.00E-01,1.00E+00,1.10E-01,3.00E-05
Isopropanol,000067-63-0,2.81E-08,8.23E+01,3.60E+01,7.20E+00,7.81E-01,1.03E-01,1.12E-05,3.16E+00,3.31E-04,NA,1.53E+00,7.78E-04,5.00E-02,8.86E-09,-8.95E+01,6.01E+01,1.00E-01,1.00E+00,1.00E+06,4.54E+01
Isopropyl Methyl Phosphonic Acid,001832-54-8,4.66E-08,2.30E+02,2.68E+01,5.37E+00,NA,7.11E-02,8.31E-06,NA,2.81E-07,NA,7.71E+00,3.96E-04,2.70E-01,1.47E-08,-8.12E+00,1.38E+02,1.00E-01,1.00E+00,1.00E+06,1.19E-02
"Isopropyltoluene, p-",000099-87-6,3.15E-04,1.77E+02,1.61E-01,3.22E-02,8.57E-01,5.27E-02,7.32E-06,2.36E+02,4.50E-01,NA,1.12E+03,1.47E-01,4.10E+00,9.95E-05,-6.80E+01,1.34E+02,NA,1.00E+00,2.34E+01,1.64E+00
Isosafrole,000120-58-1,NA,2.53E+02,NA,NA,1.12E+00,4.46E-02,7.68E-06,7.77E+01,1.48E+00,NA,2.07E+02,3.34E-02,3.37E+00,NA,8.20E+00,1.62E+02,1.00E-01,1.00E+00,1.26E+01,2.32E-02
"Isothiazolones, total",000000-08-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Isoxaben,082558-50-7,2.18E-04,4.69E+02,2.00E-01,3.99E-02,NA,3.96E-02,4.63E-06,1.85E+02,5.19E-08,NA,1.26E+03,8.87E-03,3.94E+00,6.88E-05,1.78E+02,3.32E+02,1.00E-01,1.00E+00,1.42E+00,4.13E-09
JP-4,050815-00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
JP-5/JP-8,008002-20-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
JP-7,000000-03-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Kerb,023950-58-5,6.73E-05,3.82E+02,3.95E-01,7.89E-02,NA,4.71E-02,5.50E-06,8.51E+01,3.99E-07,NA,4.05E+02,1.09E-02,3.43E+00,2.13E-05,1.55E+02,2.56E+02,1.00E-01,1.00E+00,1.50E+01,4.35E-07
Kerosene,008008-20-6,3.15E-02,2.16E+02,1.12E-02,2.23E-03,NA,6.18E-02,7.22E-06,NA,3.34E+02,NA,4.82E+03,1.96E+00,6.10E+00,9.95E-03,-9.60E+00,1.70E+02,NA,1.00E+00,3.70E-03,1.35E-01
Lactofen,077501-63-4,1.61E-03,4.59E+02,6.25E-02,1.25E-02,NA,3.18E-02,3.72E-06,6.93E+02,1.93E-05,NA,2.30E+04,6.31E-03,4.81E+00,5.10E-04,4.50E+01,4.62E+02,1.00E-01,1.00E+00,1.00E-01,7.00E-08
Lactonitrile,000078-97-7,2.87E-09,1.83E+02,1.35E+02,2.70E+01,9.88E-01,1.01E-01,1.17E-05,3.16E+00,4.01E-04,NA,1.00E+00,1.48E-04,-9.40E-01,9.07E-10,-4.00E+01,7.11E+01,1.00E-01,1.00E+00,1.00E+06,1.19E-01
Lake Red C (D and C Red No. 9),005160-02-1,NA,5.53E+02,NA,NA,NA,2.53E-02,2.96E-06,1.00E+01,NA,NA,2.31E+05,2.01E-03,5.65E+00,NA,2.38E+02,6.49E+02,1.00E-01,1.00E+00,2.89E-03,6.03E-12
Lanthanum,007439-91-0,NA,3.46E+03,NA,NA,6.15E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,9.20E+02,1.39E+02,NA,1.00E+00,NA,NA
Lasiocarpine,000303-34-4,4.76E-07,4.53E+02,6.97E+00,1.39E+00,NA,3.43E-02,4.01E-06,3.25E+00,2.51E-12,NA,1.00E+01,5.45E-05,1.28E+00,1.51E-07,9.50E+01,4.12E+02,1.00E-01,1.00E+00,6.32E+05,3.91E-10
Lead Alkyls,000000-00-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Lead acetate,000301-04-2,NA,1.74E+03,NA,NA,3.25E+00,3.34E-02,9.57E-06,3.16E+00,NA,NA,1.00E+00,2.08E-05,-8.00E-02,NA,3.27E+02,3.25E+02,1.00E-01,1.00E+00,4.43E+05,0.00E+00
Lead and Compounds,007439-92-1,4.00E-04,1.75E+03,4.50E-02,1.13E-02,1.13E+01,NA,NA,3.00E+02,NA,9.00E+02,NA,1.00E-04,NA,2.50E-04,3.28E+02,2.07E+02,NA,1.00E+00,NA,0.00E+00
Lead subacetate,001335-32-6,NA,4.35E+02,NA,NA,NA,2.19E-02,2.56E-06,3.16E+00,NA,NA,1.04E+01,1.03E-10,-4.00E+00,NA,1.57E+02,8.06E+02,1.00E-01,1.00E+00,6.30E+04,2.98E-10
Linear alkyl benzene sulfates (LAS),000000-08-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Linuron,000330-55-2,3.96E-05,3.66E+02,5.36E-01,1.07E-01,NA,4.80E-02,5.61E-06,1.79E+01,2.56E-07,NA,3.40E+02,8.39E-03,3.20E+00,1.25E-05,9.30E+01,2.49E+02,1.00E-01,1.00E+00,7.50E+01,1.43E-06
Lithium,007439-93-2,1.00E-02,1.34E+03,2.50E-02,6.25E-03,5.34E-01,NA,NA,NA,NA,3.00E+02,NA,1.00E-03,NA,2.00E-02,1.81E+02,6.94E+00,NA,1.00E+00,NA,NA
Lithium Perchlorate,007791-03-9,NA,4.30E+02,NA,NA,2.43E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,2.36E+02,1.06E+02,NA,1.00E+00,5.87E+05,NA
Londax,083055-99-6,3.78E-06,5.80E+02,2.09E+00,4.19E-01,NA,3.44E-02,4.02E-06,1.28E+01,1.55E-13,NA,2.78E+01,2.19E-04,2.18E+00,1.20E-06,1.87E+02,4.10E+02,1.00E-01,1.00E+00,1.20E+02,2.10E-14
Lutetium,007439-94-3,NA,3.40E+03,NA,NA,9.84E+00,NA,NA,NA,NA,NA,NA,2.37E-04,NA,NA,1.66E+03,1.75E+02,NA,1.00E+00,NA,NA
MCPA,000094-74-6,4.45E-05,2.87E+02,5.02E-01,1.00E-01,NA,5.54E-02,6.48E-06,3.16E+00,5.44E-08,NA,2.96E+01,1.69E-02,3.25E+00,1.40E-05,1.20E+02,2.01E+02,1.00E-01,1.00E+00,6.30E+02,5.90E-06
MCPB,000094-81-5,7.91E-05,3.46E+02,3.59E-01,7.19E-02,NA,5.08E-02,5.94E-06,3.16E+00,1.11E-07,NA,9.84E+01,1.73E-02,3.50E+00,2.50E-05,1.00E+02,2.29E+02,1.00E-01,1.00E+00,4.80E+01,4.33E-07
MCPP,000093-65-2,3.37E-05,2.98E+02,5.89E-01,1.18E-01,NA,5.30E-02,6.19E-06,NA,3.66E-08,NA,4.85E+01,1.31E-02,3.13E+00,1.07E-05,9.50E+01,2.15E+02,1.00E-01,1.00E+00,6.20E+02,3.00E-06
