Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
"Aminoazotoluene, ortho-",000097-56-3,NA,3.66E+02,NA,NA,NA,5.13E-02,6.00E-06,1.00E+01,1.30E-06,NA,4.85E+03,3.43E-02,4.29E+00,NA,1.02E+02,2.25E+02,1.00E-01,1.00E+00,7.00E+00,7.50E-07
"Aminobiphenyl, 4-",000092-67-1,1.81E-05,3.02E+02,8.45E-01,1.69E-01,NA,6.21E-02,7.26E-06,3.58E+01,7.07E-06,NA,2.47E+03,1.40E-02,2.86E+00,5.72E-06,5.35E+01,1.69E+02,1.00E-01,1.00E+00,1.29E+02,9.58E-04
"Aminophenol, m-",000591-27-5,4.05E-08,1.64E+02,2.91E+01,5.82E+00,NA,8.32E-02,9.72E-06,2.19E+01,1.10E-08,NA,9.02E+01,5.27E-04,2.10E-01,1.28E-08,1.23E+02,1.09E+02,1.00E-01,1.00E+00,2.70E+04,1.86E-03
"Aminophenol, o-",000095-55-6,1.04E-07,1.53E+02,1.68E+01,3.36E+00,1.33E+00,8.05E-02,1.08E-05,3.16E+00,1.10E-08,NA,9.20E+01,9.88E-04,6.20E-01,3.29E-08,1.74E+02,1.09E+02,1.00E-01,1.00E+00,2.00E+04,5.01E-04
"Aminophenol, p-",000123-30-8,2.74E-08,2.84E+02,3.65E+01,7.30E+00,NA,8.32E-02,9.72E-06,3.16E+00,1.47E-08,NA,9.02E+01,4.07E-04,4.00E-02,8.66E-09,1.88E+02,1.09E+02,1.00E-01,1.00E+00,1.60E+04,4.00E-05
"Aminopyridine, 4-",000504-24-5,5.22E-08,2.73E+02,2.51E+01,5.02E+00,NA,9.18E-02,1.07E-05,4.53E+00,1.00E-07,NA,3.46E+01,7.58E-04,3.20E-01,1.65E-08,1.59E+02,9.41E+01,1.00E-01,1.00E+00,8.33E+04,3.47E-04
Amitraz,033089-61-1,7.91E-03,3.97E+02,2.49E-02,4.97E-03,1.13E+00,2.16E-02,5.40E-06,1.98E+03,4.04E-04,NA,2.57E+05,1.60E-01,5.50E+00,2.50E-03,8.60E+01,2.93E+02,1.00E-01,1.00E+00,1.00E+00,2.00E-06
Amitrole,000061-82-5,2.68E-09,2.58E+02,1.41E+02,2.81E+01,NA,9.90E-02,1.16E-05,3.10E+00,9.04E-12,NA,2.41E+00,1.20E-04,-9.70E-01,8.47E-10,1.59E+02,8.41E+01,1.00E-01,1.00E+00,2.80E+05,4.40E-07
Ammonia,007664-41-7,2.50E-08,-3.33E+01,3.80E+01,7.70E+00,6.96E-01,NA,NA,NA,6.58E-04,NA,NA,1.00E-03,NA,7.90E-09,-7.77E+01,1.70E+01,NA,1.00E+00,8.99E+05,NA
Ammonium Perchlorate,007790-98-9,NA,NA,NA,NA,1.95E+00,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,NA,1.17E+02,NA,1.00E+00,2.00E+05,NA
Ammonium Sulfamate,007773-06-0,NA,1.60E+02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,2.05E+02,1.14E+02,NA,1.00E+00,1.47E+05,0.00E+00
Ammonium polyphosphate,068333-79-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Aniline,000062-53-3,1.99E-07,1.84E+02,1.16E+01,2.31E+00,1.02E+00,8.30E-02,1.01E-05,1.62E+00,8.26E-05,NA,7.02E+01,1.86E-03,9.00E-01,6.28E-08,-6.00E+00,9.31E+01,1.00E-01,1.00E+00,3.60E+04,4.90E-01
Anilinobenzothiazole,001843-21-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Anisidine hydrochloride, ortho-",000134-29-2,NA,3.90E+02,NA,NA,NA,6.46E-02,7.54E-06,3.16E+00,4.25E-13,NA,8.76E+01,2.83E-05,-1.28E+00,NA,2.25E+02,1.60E+02,1.00E-01,1.00E+00,8.05E+02,6.36E-07
"Anisidine, ortho-",000090-04-0,3.78E-07,2.24E+02,7.96E+00,1.59E+00,1.09E+00,6.52E-02,8.91E-06,2.79E+00,3.79E-05,NA,4.59E+01,1.94E-03,1.18E+00,1.20E-07,6.20E+00,1.23E+02,1.00E-01,1.00E+00,1.26E+04,8.00E-02
Anthracene,000120-12-7,7.05E-04,3.40E+02,1.01E-01,2.02E-02,1.28E+00,3.90E-02,7.85E-06,1.80E+03,2.27E-03,NA,1.64E+04,1.42E-01,4.45E+00,2.23E-04,2.15E+02,1.78E+02,1.30E-01,1.00E+00,4.34E-02,6.53E-06
"Anthraquinone, 9,10-",000084-65-1,6.14E-05,3.77E+02,4.16E-01,8.32E-02,NA,5.41E-02,6.32E-06,2.08E+01,9.61E-07,NA,5.01E+03,1.90E-02,3.39E+00,1.94E-05,2.86E+02,2.08E+02,1.00E-01,1.00E+00,1.35E+00,1.16E-07
Antimony (metallic),007440-36-0,1.00E-03,1.59E+03,2.00E-01,5.00E-02,6.68E+00,NA,NA,1.00E+02,NA,4.50E+01,NA,1.00E-03,NA,1.00E-04,6.31E+02,1.22E+02,NA,1.50E-01,NA,0.00E+00
Antimony Pentoxide,001314-60-9,NA,NA,NA,NA,3.78E+00,NA,NA,1.00E+02,NA,NA,NA,1.00E-03,NA,NA,NA,3.24E+02,NA,1.50E-01,3.00E+03,NA
Antimony Potassium Tartrate,011071-15-1,NA,NA,NA,NA,NA,NA,NA,1.00E+02,NA,NA,NA,1.00E-03,NA,NA,NA,6.15E+02,NA,1.50E-01,5.26E+04,NA
Antimony Tetroxide,001332-81-6,NA,NA,NA,NA,6.64E+00,NA,NA,1.00E+02,NA,NA,NA,1.00E-03,NA,NA,NA,3.08E+02,NA,1.50E-01,NA,NA
Antimony Trichloride,010025-91-9,NA,2.24E+02,NA,NA,3.14E+00,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,7.30E+01,2.28E+02,NA,1.00E+00,9.87E+06,1.00E+00
Antimony Trioxide,001309-64-4,NA,1.43E+03,NA,NA,5.58E+00,NA,NA,1.00E+02,NA,NA,NA,1.00E-03,NA,NA,5.70E+02,2.92E+02,NA,1.50E-01,NA,NA
Apollo,074115-24-5,3.15E-05,4.68E+02,6.13E-01,1.23E-01,NA,4.21E-02,4.92E-06,5.16E+01,1.59E-08,NA,3.02E+04,3.58E-03,3.10E+00,9.95E-06,1.82E+02,3.03E+02,1.00E-01,1.00E+00,1.00E+00,9.75E-10
Aramite,000140-57-8,1.65E-03,1.95E+02,6.16E-02,1.23E-02,1.14E+00,2.03E-02,5.03E-06,6.98E+02,7.77E-06,NA,5.55E+03,3.28E-02,4.82E+00,5.22E-04,-3.17E+01,3.35E+02,1.00E-01,1.00E+00,2.59E+00,3.88E-06
Aroclor 1016,012674-11-2,1.04E-02,3.41E+02,2.12E-02,4.24E-03,NA,4.69E-02,5.48E-06,NA,8.18E-03,NA,4.77E+04,3.05E-01,5.62E+00,3.29E-03,1.01E+02,2.58E+02,1.40E-01,1.00E+00,4.20E-01,4.00E-04
Aroclor 1221,011104-28-2,8.47E-04,2.74E+02,9.08E-02,1.82E-02,NA,5.78E-02,6.75E-06,NA,3.01E-02,NA,8.40E+03,1.68E-01,4.65E+00,2.68E-04,3.40E+01,1.89E+02,1.40E-01,1.00E+00,1.50E+01,1.38E-03
Aroclor 1232,011141-16-5,8.47E-04,2.74E+02,9.08E-02,1.82E-02,NA,5.78E-02,6.75E-06,NA,3.01E-02,NA,8.40E+03,1.68E-01,4.65E+00,2.68E-04,3.40E+01,1.89E+02,1.40E-01,1.00E+00,1.45E+00,1.38E-03
Aroclor 1242,053469-21-9,4.87E-02,3.60E+02,8.65E-03,1.73E-03,NA,4.32E-02,5.04E-06,NA,7.77E-03,NA,7.81E+04,5.45E-01,6.29E+00,1.54E-02,1.22E+02,2.92E+02,1.40E-01,1.00E+00,2.77E-01,8.63E-05
Aroclor 1248,012672-29-6,5.47E-02,3.40E+02,8.10E-03,1.62E-03,NA,4.32E-02,5.04E-06,NA,1.80E-02,NA,7.65E+04,4.75E-01,6.20E+00,1.73E-02,1.22E+02,2.92E+02,1.40E-01,1.00E+00,1.00E-01,4.94E-04
Aroclor 1254,011097-69-1,1.54E-01,3.78E+02,4.44E-03,8.88E-04,NA,4.01E-02,4.68E-06,NA,1.16E-02,NA,1.31E+05,7.51E-01,6.50E+00,4.87E-02,1.35E+02,3.26E+02,1.40E-01,1.00E+00,4.30E-02,6.53E-06
Aroclor 1260,011096-82-5,4.66E+00,4.16E+02,6.15E-04,1.23E-04,NA,3.53E-02,4.12E-06,NA,1.37E-02,NA,3.50E+05,9.86E-01,7.55E+00,1.47E+00,1.64E+02,3.95E+02,1.40E-01,1.00E+00,1.44E-02,1.30E-07
Arsenic (III),022569-72-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Arsenic Salts,000000-00-1,2.00E-03,6.16E+02,4.00E-02,1.00E-02,5.75E+00,NA,NA,3.00E+02,NA,2.90E+01,NA,1.00E-03,NA,6.00E-05,8.17E+02,NA,3.00E-02,1.00E+00,NA,NA
Arsenic V,017428-41-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,NA
"Arsenic, Inorganic",007440-38-2,2.00E-03,-6.25E+01,4.00E-02,1.00E-02,5.75E+00,NA,NA,3.00E+02,NA,2.90E+01,NA,1.00E-03,NA,6.00E-05,-1.17E+02,7.49E+01,3.00E-02,1.00E+00,NA,NA
Arsine,007784-42-1,NA,-6.25E+01,NA,NA,3.19E+00,NA,NA,3.00E+02,NA,NA,NA,1.00E-03,NA,NA,-1.17E+02,7.80E+01,NA,1.00E+00,2.00E+05,NA
Asbestos (in fibers),001332-21-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,NA,NA,1.00E+00,NA,0.00E+00
Assure,076578-14-8,4.76E-04,2.20E+02,1.27E-01,2.54E-02,NA,3.67E-02,4.29E-06,3.10E+02,4.33E-07,NA,7.74E+03,8.86E-03,4.28E+00,1.51E-04,7.65E+01,3.73E+02,1.00E-01,1.00E+00,3.00E-01,6.49E-09
Asulam,003337-71-1,1.34E-08,3.82E+02,5.52E+01,1.10E+01,NA,5.06E-02,5.91E-06,3.16E+00,6.99E-11,NA,2.78E+01,5.29E-05,-2.70E-01,4.24E-09,1.44E+02,2.30E+02,1.00E-01,1.00E+00,5.00E+03,1.39E-06
